GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US42,42,Pennsylvania,12783977,*****
0500000US42101,42101,"Philadelphia County, Pennsylvania",1559938,*****
1500000US421010144002,421010144002,"Block Group 2, Census Tract 144, Philadelphia County, Pennsylvania",1814,332
